2025-07-12 03:36:03,307 - INFO - >> Received scrape/start request
2025-07-12 03:36:03,310 - INFO - >> Scraper scheduled
2025-07-12 03:36:03,320 - INFO -  run_scraper() called
2025-07-12 03:36:03,322 - INFO -  Starting Telegram Scraper
2025-07-12 03:36:03,327 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-07-12 03:36:03,571 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-07-12 03:36:04,801 - INFO -  Scraping lobelia4cosmetics...
2025-07-12 03:48:02,198 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:07,635 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:11,780 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:20,375 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:26,596 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:29,520 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:30,909 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:34,309 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:37,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:40,694 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:42,345 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:44,001 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:46,178 - INFO -  Done tikvahpharma - 300 msgs, 92 images.
2025-07-12 03:48:56,190 - INFO - Disconnecting from 149.154.167.92:443/TcpFull...
2025-07-12 03:48:56,192 - INFO - Disconnection from 149.154.167.92:443/TcpFull complete!
